time_inclusion,affordance_indicator,AIC,BIC,f_statistic,f_pvalue
t-7,a1,-1996386.93396,-1964709.5865,42833.7631116,0.0
t-7,a2,-251669.788805,-219992.441343,633.322684639,0.0
t-7,a3,-320132.607428,-288455.259965,3749.69264357,0.0
t-7,a4,-193250.875234,-161573.527771,2950.83182778,0.0
t-7,a5,-329079.294565,-297401.947102,4585.67363333,0.0
t-7,a6,-295385.511615,-263708.164152,4210.49925919,0.0
t-7,a7,-361112.563759,-329435.216297,1558.1224628,0.0
t-7,a8,-374582.012611,-342904.665148,2714.55057569,0.0
t-7,a9,-423003.478695,-391326.131232,1455.59988478,0.0
t-7,a10,-89646.2194572,-57968.8719944,1698.48755609,0.0
t-7,a11,-247777.946951,-216100.599488,3124.00822349,0.0
t-7,a12,-202680.970932,-171003.623469,1903.11223061,0.0
t-7,a13,-136170.569731,-104493.222268,2427.66080434,0.0
t-7,a14,202110.670322,233788.017784,370.545261746,0.0
t-8,a1,-2012719.68807,-1977082.6788,39413.4397425,0.0
t-8,a2,-252413.324007,-216776.314739,564.682657746,0.0
t-8,a3,-321695.6837,-286058.674432,3346.97174781,0.0
t-8,a4,-194354.297208,-158717.28794,2631.42028219,0.0
t-8,a5,-331656.752353,-296019.743085,4101.89924163,0.0
t-8,a6,-297659.742231,-262022.732963,3763.93876338,0.0
t-8,a7,-363453.418964,-327816.409696,1393.66648672,0.0
t-8,a8,-375697.067228,-340060.05796,2420.82754257,0.0
t-8,a9,-423504.299559,-387867.290291,1296.53057621,0.0
t-8,a10,-94487.5006466,-58850.4913784,1527.76322534,0.0
t-8,a11,-251713.422263,-216076.412994,2803.0210904,0.0
t-8,a12,-206776.490474,-171139.481206,1708.74706731,0.0
t-8,a13,-141867.763609,-106230.754341,2187.02159034,0.0
t-8,a14,197772.337876,233409.347144,334.144045338,0.0
t-9,a1,-2027531.13125,-1987934.46165,36603.9065259,0.0
t-9,a2,-252976.738152,-213380.068551,509.534156335,0.0
t-9,a3,-322913.945744,-283317.276143,3022.59608584,0.0
t-9,a4,-195224.279776,-155627.610175,2374.70366699,0.0
t-9,a5,-333748.245988,-294151.576387,3711.16055817,0.0
t-9,a6,-299492.191611,-259895.522011,3403.56621467,0.0
t-9,a7,-365293.624946,-325696.955345,1260.70214135,0.0
t-9,a8,-376429.996552,-336833.326951,2184.04078993,0.0
t-9,a9,-423825.867618,-384229.198017,1168.79642995,0.0
t-9,a10,-98307.1392551,-58710.4696541,1388.14373807,0.0
t-9,a11,-254882.707154,-215286.037553,2542.20399033,0.0
t-9,a12,-210125.187242,-170528.517641,1550.79626452,0.0
t-9,a13,-146424.601007,-106827.931406,1989.83336675,0.0
t-9,a14,194119.885113,233716.554714,304.441744043,0.0
