AIC,BIC,t
33878814.212,33947439.6508,0
33600783.2324,33738034.0893,1
33278739.0107,33484615.2651,2
33166703.7545,33441205.3858,3
32782299.4935,33125426.4811,4
32674373.3088,33086125.6321,5
32730012.0336,33210389.6719,6
32894750.329,33443753.2617,7
32784554.2305,33402182.4371,8
32466502.4235,33152755.8832,9
33990599.8671,34745478.5594,10
33446250.2348,34269754.1391,11
32787726.1428,33679855.2384,12
