AIC,BIC,t
33882689.6218,33951315.0606,0
33513987.4573,33651238.3142,1
33251265.0481,33457141.3025,2
32993842.4057,33268344.037,3
32856748.1668,33199875.1544,4
32775722.6891,33187475.0123,5
32834103.1908,33314480.8292,6
33015535.7534,33564538.6862,7
32889745.3169,33507373.5235,8
32531534.9192,33217788.3789,9
32798496.0242,33553374.7165,10
,,11
,,12
