RMSE,alpha
13.4597739625,100
14.0333394066,110
781.921364763,120
15.9143336838,130
13.9279994128,140
12.6106618299,150
12.3005223446,160
13.5104294255,170
14.565910682,180
12.678354964,190
12.5513352444,200
