AIC,BIC,t
29573608.0251,29660879.5915,0
28561610.3492,28738460.1928,1
27983592.6175,28249292.9909,2
27742222.9739,28094192.5026,3
27609922.6961,28050317.0539,4
27519489.6176,28049654.3737,5
27451508.161,28070097.6929,6
27401313.9254,28106405.9273,7
