iteration,testing_loss,training_loss
501,0.062636,0.039912
502,0.0638976,0.0253383
503,0.0776239,0.0106994
504,0.0681526,0.014281
505,0.0726209,0.0126471
506,0.0656373,0.0209233
507,0.0672764,0.00980374
508,0.0774236,0.00985189
509,0.0703289,0.0139419
510,0.0747095,0.0157171
511,0.0727524,0.0147621
512,0.0671157,0.0121896
513,0.0684936,0.0120145
514,0.0708166,0.0109838
515,0.0708523,0.0156594
516,0.0701346,0.010906
517,0.0704531,0.0101202
518,0.0693273,0.010171
519,0.0739665,0.0184256
520,0.0677982,0.0146977
521,0.068552,0.0143495
522,0.0652921,0.0103519
523,0.066641,0.0134333
524,0.0641974,0.00978009
525,0.0697488,0.00993576
526,0.074038,0.0105033
527,0.0660108,0.00719139
528,0.0714835,0.0103729
529,0.0695582,0.0132397
530,0.0727653,0.0115253
531,0.0693984,0.0126405
532,0.0699244,0.0157859
533,0.068351,0.0236797
534,0.0679293,0.0125705
535,0.0736657,0.00951617
536,0.0735033,0.00926006
537,0.0721123,0.0100382
538,0.0728911,0.0117963
539,0.0689587,0.0139921
540,0.0652643,0.0112982
541,0.0678311,0.0130126
542,0.0694088,0.0114027
543,0.070647,0.0115403
544,0.0678622,0.015056
545,0.0625788,0.0106539
546,0.0689945,0.0140654
547,0.075216,0.00959734
548,0.0692434,0.00787265
549,0.0696629,0.0138924
550,0.0669232,0.0127471
551,0.0656391,0.0106288
552,0.0694876,0.0122478
553,0.0704822,0.0136034
554,0.0704792,0.0110021
555,0.0693335,0.0112224
556,0.065369,0.012518
557,0.0698212,0.00969685
558,0.066702,0.0125861
559,0.0735832,0.0114309
560,0.0716295,0.0100185
561,0.0658067,0.0116715
562,0.0642366,0.0107552
563,0.0691356,0.0125598
564,0.0690938,0.0144173
565,0.0663595,0.0086513
566,0.0671654,0.0105657
567,0.0654664,0.00831184
568,0.0626069,0.0123051
569,0.0701798,0.0104941
570,0.0676602,0.00875899
571,0.0674163,0.0112121
572,0.0671993,0.0105663
573,0.0646258,0.00975285
574,0.0659958,0.0132804
575,0.0748594,0.00779894
576,0.0685297,0.0136878
577,0.0644933,0.0123868
578,0.0731521,0.0117429
579,0.0710471,0.0125503
580,0.0647279,0.0102963
581,0.0629158,0.0147026
582,0.0647086,0.0127374
583,0.0582916,0.0116171
584,0.0698396,0.0130232
585,0.0670427,0.0148903
