iteration,testing_loss,training_loss
501,0.0809068,0.0328844
502,0.0626924,0.0263867
503,0.0674201,0.0153035
504,0.0718439,0.011421
505,0.0699471,0.0140636
506,0.0671075,0.00921244
507,0.0755757,0.0114275
508,0.0662553,0.0124627
509,0.0719788,0.00948589
510,0.0704035,0.0109551
511,0.0662191,0.0162915
512,0.0804659,0.0146494
513,0.069748,0.0158705
514,0.0707139,0.0103133
515,0.0639483,0.0149997
516,0.0671506,0.0144715
517,0.0649427,0.00959454
518,0.0709207,0.0165601
519,0.0674905,0.011247
520,0.0672949,0.0153003
521,0.064298,0.0102224
522,0.0652254,0.012597
523,0.071574,0.0177599
524,0.0741432,0.0106269
525,0.0708283,0.00860876
526,0.066431,0.0109171
527,0.0738733,0.00884266
528,0.064833,0.010849
529,0.0678944,0.0108518
530,0.0723358,0.0157384
531,0.0743548,0.00907484
532,0.0673469,0.0142268
533,0.0694325,0.0130509
534,0.0730316,0.0129478
535,0.071873,0.00989671
536,0.0718557,0.00902805
537,0.068741,0.0142527
538,0.0698262,0.00940261
539,0.0658143,0.0119821
540,0.0668149,0.0183184
541,0.0700093,0.0140115
542,0.0747304,0.0100975
543,0.065015,0.0123208
544,0.0656443,0.0122991
545,0.0603164,0.0122652
546,0.0669147,0.0146179
547,0.0673058,0.0110382
548,0.071601,0.015063
549,0.0661627,0.00943389
550,0.076479,0.00928205
551,0.0729391,0.0119151
552,0.0698153,0.0116733
553,0.062023,0.0124301
554,0.061905,0.0186868
555,0.0644334,0.0147637
556,0.0666659,0.0184398
557,0.0697881,0.0115167
558,0.0647891,0.00800406
559,0.0701398,0.012776
560,0.0664042,0.0118737
561,0.0673341,0.0128361
562,0.0722976,0.0122129
563,0.076747,0.0128692
564,0.0712529,0.00905921
565,0.0695287,0.00720511
566,0.0711489,0.010619
567,0.0728523,0.0110031
568,0.0703987,0.0103287
569,0.0742775,0.0100352
570,0.0674333,0.0125968
571,0.0680088,0.0128496
572,0.0680438,0.0094196
573,0.0667989,0.0180865
574,0.0612351,0.00895606
575,0.0703684,0.0130722
576,0.0706414,0.00855917
577,0.0712641,0.0116691
578,0.0686172,0.00904054
579,0.0781855,0.00948981
580,0.0693077,0.0243118
581,0.0716622,0.0150903
582,0.0622647,0.00974253
583,0.0710695,0.00961073
584,0.070194,0.00765896
585,0.0710011,0.0111532
586,0.0716292,0.009555
587,0.0635685,0.00846418
588,0.0712881,0.0129398
589,0.066044,0.0112704
590,0.0691652,0.00947715
591,0.0617787,0.0148407
592,0.0644421,0.0092064
593,0.0715401,0.010656
594,0.0669837,0.0127185
595,0.0651177,0.00961027
596,0.0691051,0.0155194
597,0.0695524,0.0129519
598,0.075186,0.00741421
599,0.0589431,0.0122202
600,0.0635296,0.00956231
601,0.0739539,0.0139236
602,0.0676164,0.00738156
603,0.0689213,0.00968236
604,0.0641984,0.0127072
605,0.0741399,0.0119429
606,0.0776181,0.0112177
607,0.0697117,0.0118673
608,0.0726624,0.00944729
609,0.0754829,0.0140782
610,0.0660231,0.00828749
611,0.0733222,0.0112989
612,0.0837624,0.0140113
613,0.074629,0.0135433
614,0.0644179,0.0085377
615,0.0768481,0.00937793
616,0.07026,0.0119548
617,0.0590699,0.00989499
618,0.0625425,0.00918117
619,0.0608425,0.013309
620,0.0632233,0.00931396
621,0.0675336,0.00797206
622,0.0750977,0.0142808
623,0.0618162,0.00859778
624,0.0759532,0.0111448
625,0.0737479,0.00744765
626,0.066094,0.00946514
627,0.0614891,0.00703245
628,0.0677559,0.00714762
629,0.068595,0.0113635
630,0.0665278,0.0120596
631,0.0727547,0.0111938
632,0.0753932,0.0155336
633,0.0618121,0.00857841
634,0.0712114,0.0102286
635,0.0658823,0.0100517
636,0.0717383,0.00767889
637,0.0732306,0.0098164
638,0.0741754,0.00980359
639,0.0714831,0.00980863
640,0.0739443,0.00699221
641,0.0744327,0.00857139
642,0.0756419,0.00761539
643,0.0663616,0.00949788
644,0.0637945,0.0132337
645,0.0732011,0.00983769
646,0.0585767,0.00593253
647,0.0687141,0.00665369
648,0.0680792,0.0114012
649,0.0640539,0.0126889
650,0.071535,0.007176
651,0.0704549,0.00976636
652,0.0664245,0.00950642
653,0.0719617,0.00855835
654,0.0734311,0.0101326
655,0.0735829,0.00956284
656,0.0688833,0.0169874
657,0.0714571,0.00954345
658,0.0745842,0.00954585
659,0.0637685,0.0102482
660,0.0625329,0.00873155
661,0.0650306,0.00879693
662,0.0728741,0.00839094
663,0.0710597,0.00965786
664,0.0733333,0.0112982
665,0.0664143,0.00929554
666,0.0647895,0.0155687
667,0.0646774,0.00979631
668,0.0639501,0.00955871
669,0.0694764,0.0080252
670,0.0646108,0.00818373
671,0.0639166,0.00632838
672,0.0703045,0.0143569
673,0.0750069,0.00913718
674,0.0685504,0.00764966
675,0.0602686,0.00746406
676,0.0694668,0.011217
677,0.0686401,0.00789534
678,0.0682497,0.0086586
679,0.0641591,0.00641897
680,0.0760367,0.0102147
681,0.0726969,0.00896125
682,0.0684341,0.0119155
683,0.0699666,0.009341
684,0.0603946,0.00751036
685,0.0609933,0.011638
686,0.0712705,0.016629
687,0.0729185,0.00871761
688,0.0680357,0.00974519
689,0.0673405,0.00814727
690,0.0657713,0.0111931
691,0.0751709,0.00644827
692,0.0695049,0.00838915
693,0.0668136,0.00714654
694,0.0667636,0.010349
695,0.0614978,0.00951727
696,0.0642391,0.009174
697,0.0674351,0.0080634
698,0.0693395,0.00675295
699,0.0693364,0.0105579
700,0.0673769,0.00868696
701,0.0663116,0.00965863
702,0.0667151,0.00780536
703,0.0775315,0.00865375
704,0.0701404,0.0104379
705,0.0723189,0.00586334
706,0.0671031,0.00766908
707,0.0652102,0.00675707
708,0.0738196,0.0110993
709,0.060777,0.00752574
710,0.0604408,0.00577771
711,0.0676542,0.00776001
712,0.0645536,0.00984141
713,0.0616486,0.00818484
714,0.0707918,0.0092011
715,0.06976,0.00905995
716,0.0722344,0.00968492
717,0.0721185,0.0103598
718,0.0718455,0.00740163
719,0.0690341,0.00765841
720,0.0644868,0.00927138
721,0.0669958,0.0114018
722,0.0674342,0.00971083
723,0.0662945,0.00825267
724,0.0669223,0.00631977
725,0.0714555,0.00706077
726,0.0701545,0.00912095
727,0.0650142,0.00779427
728,0.0700954,0.0111137
729,0.0753115,0.0103396
730,0.0677843,0.00890358
731,0.0662832,0.00795256
732,0.0689935,0.00935516
733,0.0671497,0.0130447
734,0.0706021,0.0104306
735,0.0723522,0.00578762
736,0.0643347,0.00653409
737,0.0718115,0.00772035
738,0.0769869,0.00731636
739,0.0658688,0.0069697
740,0.0654207,0.00783398
741,0.0644471,0.00830802
742,0.0755298,0.00967248
743,0.0649314,0.00783077
744,0.0702603,0.00816862
745,0.0623219,0.00831023
746,0.0694829,0.0100469
747,0.0649728,0.0117143
748,0.0705695,0.00739492
749,0.05858,0.00725931
750,0.0646583,0.01046
751,0.0661796,0.00722309
752,0.0749061,0.00664498
753,0.0706051,0.00653755
754,0.0678953,0.008431
755,0.0693682,0.00888214
756,0.0674417,0.0073862
757,0.0647292,0.00804492
758,0.0690166,0.0118475
759,0.0655534,0.00839005
760,0.0721648,0.0074315
761,0.0774425,0.00735919
762,0.0703171,0.00445167
763,0.0668263,0.00977741
764,0.0680201,0.00819036
765,0.0648083,0.0055312
766,0.0726854,0.0131789
767,0.0684457,0.00984866
768,0.0717907,0.0113344
769,0.0733312,0.0121145
770,0.0692793,0.00992041
771,0.0739951,0.0064624
772,0.0746928,0.00667808
773,0.0636243,0.00876093
774,0.062232,0.00878179
775,0.0665344,0.0119211
776,0.0620734,0.00693031
777,0.0671925,0.00860629
778,0.0692555,0.0159274
779,0.0719976,0.0116316
780,0.0682975,0.0120461
781,0.0715118,0.00767638
782,0.0676075,0.00665544
783,0.0701085,0.00538661
784,0.0627594,0.00736482
785,0.0708129,0.00840486
786,0.0730646,0.00750541
787,0.0694743,0.00915007
788,0.0690133,0.00853265
789,0.0778803,0.00601931
790,0.0644842,0.00789317
791,0.0690083,0.00811425
792,0.0711479,0.00773738
793,0.0663376,0.00544963
794,0.0619775,0.0100585
795,0.0685738,0.00883756
796,0.0687077,0.0115154
797,0.0719024,0.0101321
798,0.0651309,0.0079692
799,0.0680302,0.00603311
800,0.0786173,0.00867971
801,0.0707833,0.00796962
802,0.0664247,0.00988923
803,0.065891,0.0109702
804,0.0725995,0.00806538
805,0.0700785,0.0100948
806,0.0670791,0.00729612
807,0.0677638,0.00939685
808,0.0778496,0.00684913
