iteration,testing_loss,training_loss
431,0.0671481,0.0163892
432,0.0749792,0.0123527
433,0.0747679,0.0190638
434,0.0688406,0.0209798
435,0.0704229,0.0142622
436,0.0670246,0.0204349
437,0.0698334,0.0286152
438,0.0707535,0.0209182
439,0.0683291,0.0144975
440,0.0781207,0.0156028
441,0.0686978,0.0131361
442,0.0680676,0.015431
443,0.0643119,0.00999285
444,0.0719976,0.0263174
445,0.0642371,0.0185555
446,0.0742838,0.01308
447,0.0738391,0.0105441
448,0.0694548,0.0129079
449,0.0676698,0.0191737
450,0.067099,0.0210532
451,0.076539,0.0137811
452,0.0662296,0.0151917
453,0.0660188,0.0222972
454,0.0729139,0.0127486
455,0.0659987,0.0113148
456,0.0675148,0.011727
457,0.0772751,0.00884249
458,0.0676983,0.0242301
459,0.0693771,0.0143666
460,0.0702369,0.0135531
461,0.0669235,0.012639
462,0.0658497,0.0114744
463,0.0693725,0.0118872
464,0.0648605,0.00970579
465,0.0738637,0.0111404
466,0.0684663,0.0114173
467,0.0782928,0.0164019
468,0.0720238,0.0168068
469,0.0741656,0.0094662
470,0.0670874,0.0108584
471,0.0686994,0.0155295
472,0.0810119,0.0162757
473,0.066969,0.0141116
474,0.0709324,0.014652
475,0.0755644,0.00945018
476,0.0742229,0.0100872
477,0.072517,0.0141934
478,0.0669435,0.0108419
479,0.0715256,0.0109397
480,0.0699804,0.0143382
481,0.0721176,0.0147462
482,0.0702221,0.0120391
483,0.0702372,0.0137089
484,0.0706019,0.00787427
485,0.0724891,0.00879866
486,0.0681043,0.00867161
487,0.0744645,0.0127857
488,0.0778359,0.0142718
489,0.0733285,0.00986528
490,0.0667004,0.0140674
491,0.0675519,0.0144679
492,0.0713153,0.0121946
493,0.0717531,0.0113367
494,0.0679254,0.0118898
495,0.0670196,0.0145072
496,0.0751799,0.00877047
497,0.0747723,0.00940409
498,0.0684822,0.012941
499,0.0649139,0.0116485
500,0.0689795,0.0091996
